Date,Basin,Site,Access_Point,Species ,Length_mm,Mass_g,Method,Notes,,,,
7/15/24,Big Hole ,Deep - Upper,"45.9038, -113.11032",BRK,128,24.2,Spot Shock,,,,,
7/15/24,Big Hole ,Deep - Upper,"45.9038, -113.11032",BRK,129,28.5,Spot Shock,,,,,
7/15/24,Big Hole ,Deep - Upper,"45.9038, -113.11032",RBT,208,118.4,Spot Shock,,,,,
7/15/24,Big Hole ,Deep - Upper,"45.9038, -113.11032",BRK,130,22,Spot Shock,,,,,
7/15/24,Big Hole ,Deep - Upper,"45.9038, -113.11032",RBT,34,0.5,Spot Shock,,,,,
7/15/24,Big Hole ,Deep - Upper,"45.9038, -113.11032",RBT,36,0.7,Spot Shock,,,,,
7/15/24,Big Hole ,Deep - Upper,"45.9038, -113.11032",BRN,322,391,Spot Shock,,,,,
7/15/24,Big Hole ,Deep - Lower,"45.88629, -113.11757",WHT,308,322.4,Spot Shock,,,,,
7/15/24,Big Hole ,Deep - Lower,"45.88629, -113.11757",BRN,429,828.1,Spot Shock,,,,,
7/15/24,Big Hole ,Deep - Lower,"45.88629, -113.11757",BRK,174,55,Spot Shock,,,,,
7/15/24,Big Hole ,Deep - Lower,"45.88629, -113.11757",BRN,138,26,Spot Shock,,,,,
7/15/24,Big Hole ,Deep - Lower,"45.88629, -113.11757",BRN,271,22.3,Spot Shock,,,,,
7/15/24,Big Hole ,Deep - Lower,"45.88629, -113.11757",BRN,56,1.8,Spot Shock,,,,,
7/15/24,Big Hole ,Deep - Lower,"45.88629, -113.11757",RBT,108,16.1,Spot Shock,,,,,
7/15/24,Big Hole ,Deep - Lower,"45.88629, -113.11757",BRN,44,0.8,Spot Shock,,,,,
7/15/24,Big Hole ,Deep - Lower,"45.88629, -113.11757",BRK,42,0.9,Spot Shock,Unsure about species,,,,
7/15/24,Big Hole ,Deep - Lower,"45.88629, -113.11757",RBT,32,0.5,Spot Shock,Unsure about species,,,,
7/15/24,Big Hole ,Deep - Lower,"45.88629, -113.11757",RBT,29,0.6,Spot Shock,Unsure about species,,,,
7/15/24,Big Hole ,Deep - Lower,"45.88629, -113.11757",RBT,25,0.4,Spot Shock,Unsure about species,,,,
7/15/24,Big Hole ,Wise - Bridge ,"45.79115, -112.95185",RBT,115,16.4,Spot Shock,,,,,
7/15/24,Big Hole ,Wise - Bridge ,"45.79115, -112.95185",RBT,95,10,Spot Shock,,,,,
7/15/24,Big Hole ,Wise - Bridge ,"45.79115, -112.95185",RBT,174,60.7,Spot Shock,,,,,
7/15/24,Big Hole ,Wise - Bridge ,"45.79115, -112.95185",RBT,168,58.9,Spot Shock,,,,,
7/15/24,Big Hole ,Wise - Bridge ,"45.79115, -112.95185",RBT,155,51.8,Spot Shock,,,,,
7/15/24,Big Hole ,Wise - Bridge ,"45.79115, -112.95185",RBT,255,223.7,Spot Shock,,,,,
7/15/24,Big Hole ,Wise - Bridge ,"45.79115, -112.95185",RBT,120,21,Spot Shock,,,,,
7/15/24,Big Hole ,Wise - Bridge ,"45.79115, -112.95185",RBT,123,20.8,Spot Shock,,,,,
7/15/24,Big Hole ,Wise - Bridge ,"45.79115, -112.95185",RBT,129,23.3,Spot Shock,,,,,
7/15/24,Big Hole ,Wise - Bridge ,"45.79115, -112.95185",RBT,172,61.2,Spot Shock,,,,,
7/15/24,Big Hole ,Wise - Bridge ,"45.79115, -112.95185",RBT,175,66.9,Spot Shock,,,,,
7/15/24,Big Hole ,Wise - Bridge ,"45.79115, -112.95185",BRK,170,65.5,Spot Shock,,,,,
7/15/24,Big Hole ,Wise - Bridge ,"45.79115, -112.95185",RBT,155,44.4,Spot Shock,,,,,
7/15/24,Big Hole ,Wise - Bridge ,"45.79115, -112.95185",RBT,114,17.1,Spot Shock,,,,,
7/15/24,Big Hole ,Wise - Bridge ,"45.79115, -112.95185",RBT,110,15.6,Spot Shock,,,,,
7/15/24,Big Hole ,Wise - Bridge ,"45.79115, -112.95185",RBT,103,13.7,Spot Shock,,,,,
7/15/24,Big Hole ,Wise - Bridge ,"45.79115, -112.95185",RBT,162,51.1,Spot Shock,,,,,
7/15/24,Big Hole ,Wise - Bridge ,"45.79115, -112.95185",RBT,123,23.2,Spot Shock,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRK,292,274.6,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,130,25.2,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,68,3.3,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,60,2.5,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,69,4.1,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,128,25.7,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,62,2.8,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,117,20.3,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,70,3.5,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,51,1.6,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,110,16.1,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,119,19.7,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,54,2,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,61,2.7,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,62,2.7,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,54,1.8,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,144,34,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,58,2.3,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,60,2.8,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,57,1.9,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,115,18.1,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,59,2.1,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,57,2,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,28,2.1,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,59,2.2,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,65,3.3,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,57,2,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,60,2.5,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,133,27.6,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,131,27.3,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,57,2.2,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,54,1.7,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,57,2.1,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,57,2.1,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,62,2.8,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,61,2.5,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,61,2.5,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,69,4.1,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,62,2.4,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,54,1.5,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,58,2,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,57,2.2,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,141,35.2,Practice Pass 1,,,,,
7/23/24,Big Hole ,Trapper- Lower,"45.62294, -112.69714",BRN,61,2.6,Practice Pass 1,,,,,
