Species ,Waterbody,Date Collected,Year,Sample Number,ID,Head or Whole,Length_mm,Mass_g,Location,Collection Method,Sex,Fin Clip Collected?,Tissue Collected?,Stomach?,Otolith Collected?,,,,,,
RBT,BH,7/9/24,24,19,RBT.BH.24.19,Whole ,350,567.9,U.Maid-Salmon,Angling,F,Y,Y,Y,Y,,,,,,
RBT,BH,7/10/24,24,20,RBT.BH.24.20,Whole ,373,631.9,Salmon- Brownes,Angling,M,Y,Y,Y,Y,,,,,,
RBT,BH,7/10/24,24,21,RBT.BH.24.21,Whole ,298,329.5,Salmon- Brownes,Angling,F,Y,Y,Y,Y,,,,,,
RBT,BH,7/10/24,24,22,RBT.BH.24.22,Whole ,324,420,Salmon- Brownes,Angling,F,Y,Y,Y,Y,,,,,,
RBT,BH,7/10/24,24,23,RBT.BH.24.23,Whole ,245,181.9,Salmon- Brownes,Angling,M,Y,Y,Y,Y,"Broken 2nd otolith, Pit Tag: 982 0910 72863590",,,,,
RBT,BH,7/9/24,24,24,RBT.BH.24.24,Whole ,395,590.6,Glen- Tony,Angling,M,Y,Y,Y,Y,,,,,,
RBT,BH,7/9/24,24,25,RBT.BH.24.25,Whole ,280,236.6,Glen- Tony,Angling,F,Y,Y,Y,Y,,,,,,
RBT,BH,7/9/24,24,26,RBT.BH.24.26,Whole ,392,696.9,Glen- Tony,Angling,M,Y,Y,Y,Y,,,,,,
RBT,BH,7/9/24,24,27,RBT.BH.24.27,Whole ,375,520.2,Glen- Tony,Angling,F,Y,Y,Y,Y,,,,,,
RBT,BH,7/9/24,24,28,RBT.BH.24.28,Whole ,355,454.8,Glen- Tony,Angling,M,Y,Y,Y,Y,,,,,,
RBT,BH,7/9/24,24,29,RBT.BH.24.29,Whole ,370,500.5,Glen- Tony,Angling,F,Y,Y,Y,Y,,,,,,
RBT,BH,7/9/24,24,30,RBT.BH.24.30,Whole ,260,245.1,Glen- Tony,Angling,M,Y,Y,Y,Y,Broken 2nd otolith,,,,,
RBT,BH,7/8/24,24,31,RBT.BH.24.31,Whole ,275,253.5,Jerry- Divide,Angling,M,Y,Y,Y,Y,,,,,,
RBT,BH,7/9/24,24,32,RBT.BH.24.32,Whole ,365,633.1,U.Maid-Salmon,Angling,F,Y,Y,Y,Y,,,,,,
RBT,BH,7/8/24,24,33,RBT.BH.24.33,Whole ,305,385,Jerry- Divide,Angling,F,Y,Y,Y,Y,Broken 2nd otolith,,,,,
RBT,BH,7/8/24,24,34,RBT.BH.24.34,Whole ,320,367.5,Jerry- Divide,Angling,M,Y,Y,Y,Y,,,,,,
RBT,BH,7/8/24,24,35,RBT.BH.24.35,Whole ,308,340,Jerry- Divide,Angling,M,Y,Y,Y,Y,,,,,,
RBT,BH,7/8/24,24,36,RBT.BH.24.36,Whole ,420,885,Jerry- Divide,Angling,F,Y,Y,Y,Y,,,,,,
RBT,BH,7/10/24,24,37,RBT.BH.24.37,Whole ,405,677.5,Salmon- Brownes,Angling,M,Y,Y,Y,Y,,,,,,
RBT,BH,7/10/24,24,38,RBT.BH.24.38,Whole ,360,538.4,Salmon- Brownes,Angling,M,Y,Y,Y,Y,Pit tag: 982 0910 72864765,,,,,
RBT,BH,7/9/24,24,39,RBT.BH.24.39,Whole ,385,628.8,U.Maid-Salmon,Angling,M,Y,Y,Y,Y,,,,,,
RBT,BH,7/9/24,24,40,RBT.BH.24.40,Whole ,498,1214.6,U.Maid-Salmon,Angling,M,Y,Y,Y,Y,,,,,,
RBT,BH,7/9/24,24,41,RBT.BH.24.41,Whole ,395,693.8,U.Maid-Salmon,Angling,M,Y,Y,Y,Y,,,,,,
RBT,BH,7/10/24,24,42,RBT.BH.24.42,Whole ,310,369.2,Salmon- Brownes,Angling,M,Y,Y,Y,Y,,,,,,
